2021-08-25T13:48:55+02:00,competition,checkpointteam,WPP-test-2,WPP-test-3
2021-08-25T13:48:55+02:00,competition,checkpoint,WP-test,WP-test-3
2021-08-25T13:50:26+02:00,competition,checkpointteam,WPP-test-3,WPP-test
2021-08-25T13:50:26+02:00,competition,checkpoint,WP-test-3,WP-test
2021-08-25T14:06:05+02:00,system,id,Na,ERROR000000000
2021-08-25T14:22:25+02:00,system,internet,Na,TRUE
2021-08-25T14:22:42+02:00,system,internet,TRUE,FALSE
2021-08-25T14:22:55+02:00,system,internet,FALSE,TRUE
2021-08-25T14:26:58+02:00,system,internet,TRUE,FALSE
2021-08-25T14:27:00+02:00,system,internet,FALSE,TRUE
2021-08-25T14:27:12+02:00,system,internet,TRUE,FALSE
2021-08-25T14:28:00+02:00,system,internet,FALSE,TRUE
2021-08-25T14:28:02+02:00,system,internet,TRUE,FALSE
2021-08-25T14:28:08+02:00,system,internet,FALSE,TRUE
2021-08-25T14:28:25+02:00,system,internet,TRUE,FALSE
2021-08-25T14:28:27+02:00,system,internet,FALSE,TRUE
2021-08-25T14:28:29+02:00,system,internet,TRUE,FALSE
2021-08-25T14:28:30+02:00,system,internet,FALSE,TRUE
2021-08-25T14:28:32+02:00,system,internet,TRUE,FALSE
2021-08-25T14:28:34+02:00,system,internet,FALSE,TRUE
2021-08-25T14:28:37+02:00,system,internet,TRUE,FALSE
2021-08-25T14:28:43+02:00,system,internet,FALSE,TRUE
2021-08-25T14:29:39+02:00,system,internet,TRUE,FALSE
2021-08-25T14:29:40+02:00,system,internet,FALSE,TRUE
2021-08-25T14:29:44+02:00,system,internet,TRUE,FALSE
2021-08-25T14:29:49+02:00,system,internet,FALSE,TRUE
2021-08-25T14:29:53+02:00,system,internet,TRUE,FALSE
2021-08-25T14:29:54+02:00,system,internet,FALSE,TRUE
2021-08-25T14:31:33+02:00,system,internet,TRUE,FALSE
2021-08-25T14:32:08+02:00,system,internet,FALSE,TRUE
2021-08-25T14:32:14+02:00,system,internet,TRUE,FALSE
2021-08-25T14:32:19+02:00,system,internet,FALSE,TRUE
2021-08-25T14:32:21+02:00,system,internet,TRUE,FALSE
2021-08-25T14:32:31+02:00,system,internet,FALSE,TRUE
2021-08-25T14:32:56+02:00,system,internet,TRUE,FALSE
2021-08-25T14:32:58+02:00,system,internet,FALSE,TRUE
2021-08-25T14:33:01+02:00,system,internet,TRUE,FALSE
2021-08-25T14:33:02+02:00,system,internet,FALSE,TRUE
2021-08-25T14:33:04+02:00,system,internet,TRUE,FALSE
2021-08-25T14:33:06+02:00,system,internet,FALSE,TRUE
2021-08-25T14:33:14+02:00,system,internet,TRUE,FALSE
2021-08-25T14:33:18+02:00,system,internet,FALSE,TRUE
2021-08-25T14:33:26+02:00,system,internet,TRUE,FALSE
2021-08-25T14:33:34+02:00,system,internet,FALSE,TRUE
2021-08-25T14:33:43+02:00,system,internet,TRUE,FALSE
2021-08-25T14:33:44+02:00,system,internet,FALSE,TRUE
2021-08-25T14:34:51+02:00,system,internet,TRUE,FALSE
2021-08-25T14:34:53+02:00,system,internet,FALSE,TRUE
2021-08-25T14:35:08+02:00,system,internet,TRUE,FALSE
2021-08-25T14:35:12+02:00,system,internet,FALSE,TRUE
2021-08-25T14:35:30+02:00,system,internet,TRUE,FALSE
2021-08-25T14:35:33+02:00,system,internet,FALSE,TRUE
2021-08-25T14:35:39+02:00,system,internet,TRUE,FALSE
2021-08-25T14:35:40+02:00,system,internet,FALSE,TRUE
2021-08-25T14:35:48+02:00,system,internet,TRUE,FALSE
2021-08-25T14:35:49+02:00,system,internet,FALSE,TRUE
2021-08-25T14:36:07+02:00,system,internet,TRUE,FALSE
2021-08-25T14:36:09+02:00,system,internet,FALSE,TRUE
2021-08-25T14:36:15+02:00,system,internet,TRUE,FALSE
2021-08-25T14:36:24+02:00,system,internet,FALSE,TRUE
2021-08-25T14:36:37+02:00,system,internet,TRUE,FALSE
2021-08-25T14:38:01+02:00,system,internet,FALSE,TRUE
2021-08-25T14:39:58+02:00,system,internet,TRUE,FALSE
2021-08-25T14:39:59+02:00,system,internet,FALSE,TRUE
2021-08-25T14:40:22+02:00,system,internet,TRUE,FALSE
2021-08-25T14:40:23+02:00,system,internet,FALSE,TRUE
2021-08-25T14:40:45+02:00,system,internet,TRUE,FALSE
2021-08-25T14:40:46+02:00,system,internet,FALSE,TRUE
2021-08-25T14:40:59+02:00,system,internet,TRUE,FALSE
2021-08-25T14:41:03+02:00,system,internet,FALSE,TRUE
2021-08-25T14:41:30+02:00,system,internet,TRUE,FALSE
2021-08-25T14:41:31+02:00,system,internet,FALSE,TRUE
2021-08-25T14:43:17+02:00,system,internet,TRUE,FALSE
2021-08-25T14:43:18+02:00,system,internet,FALSE,TRUE
2021-08-25T14:46:30+02:00,system,internet,TRUE,FALSE
2021-08-25T14:46:31+02:00,system,internet,FALSE,TRUE
2021-08-25T14:46:43+02:00,system,internet,TRUE,FALSE
2021-08-25T14:46:47+02:00,system,internet,FALSE,TRUE
2021-08-25T14:46:54+02:00,system,internet,TRUE,FALSE
2021-08-25T14:46:55+02:00,system,internet,FALSE,TRUE
2021-08-25T14:48:28+02:00,system,internet,TRUE,FALSE
2021-08-25T14:48:29+02:00,system,internet,FALSE,TRUE
2021-08-25T14:48:34+02:00,system,internet,TRUE,FALSE
2021-08-25T14:48:35+02:00,system,internet,FALSE,TRUE
2021-08-25T14:48:56+02:00,system,internet,TRUE,FALSE
2021-08-25T14:48:57+02:00,system,internet,FALSE,TRUE
2021-08-25T14:49:54+02:00,system,internet,TRUE,FALSE
2021-08-25T14:49:55+02:00,system,internet,FALSE,TRUE
2021-08-25T14:51:12+02:00,system,internet,TRUE,FALSE
2021-08-25T14:51:14+02:00,system,internet,FALSE,TRUE
2021-08-25T14:51:53+02:00,system,internet,TRUE,FALSE
2021-08-25T14:51:54+02:00,system,internet,FALSE,TRUE
2021-08-25T14:52:19+02:00,system,internet,TRUE,FALSE
2021-08-25T14:52:20+02:00,system,internet,FALSE,TRUE
2021-08-25T14:53:02+02:00,system,internet,TRUE,FALSE
2021-08-25T14:53:04+02:00,system,internet,FALSE,TRUE
2021-08-25T14:54:07+02:00,system,internet,TRUE,FALSE
2021-08-25T14:54:09+02:00,system,internet,FALSE,TRUE
2021-08-25T14:54:15+02:00,system,internet,TRUE,FALSE
2021-08-25T14:54:17+02:00,system,internet,FALSE,TRUE
2021-08-25T14:54:34+02:00,system,internet,TRUE,FALSE
2021-08-25T14:54:35+02:00,system,internet,FALSE,TRUE
2021-08-25T14:56:17+02:00,system,internet,TRUE,FALSE
2021-08-25T14:56:22+02:00,system,internet,FALSE,TRUE
2021-08-25T14:56:24+02:00,system,internet,TRUE,FALSE
2021-08-25T14:56:25+02:00,system,internet,FALSE,TRUE
2021-08-25T14:56:27+02:00,system,internet,TRUE,FALSE
2021-08-25T14:56:28+02:00,system,internet,FALSE,TRUE
2021-08-25T14:56:43+02:00,system,internet,TRUE,FALSE
2021-08-25T14:56:44+02:00,system,internet,FALSE,TRUE
2021-08-25T14:56:47+02:00,system,internet,TRUE,FALSE
2021-08-25T14:56:48+02:00,system,internet,FALSE,TRUE
2021-08-25T14:57:22+02:00,system,internet,TRUE,FALSE
2021-08-25T14:57:23+02:00,system,internet,FALSE,TRUE
2021-08-25T14:58:42+02:00,system,internet,TRUE,FALSE
2021-08-25T14:58:43+02:00,system,internet,FALSE,TRUE
2021-08-25T15:02:20+02:00,system,internet,TRUE,FALSE
2021-08-25T15:02:21+02:00,system,internet,FALSE,TRUE
2021-08-25T15:02:50+02:00,system,internet,TRUE,FALSE
2021-08-25T15:02:55+02:00,system,internet,FALSE,TRUE
2021-08-25T15:06:06+02:00,system,internet,TRUE,FALSE
2021-08-25T15:06:07+02:00,system,internet,FALSE,TRUE
